Model,MAE,RMSE,R2,CV_R2
RandomForestRegressor,2.9266468977122635,6.992556550569231,0.9941414920053852,0.994777355151357
GradientBoostingRegressor,2.8884323276831187,7.134598174904717,0.99390106381697,0.9940121503061181
LinearRegression,2.8644844650073473,8.11295050266497,0.9921137106941211,0.993576452102381
MLPRegressor,3.5786590591704504,8.505252982159583,0.9913325863414016,0.9928355279618826
