Model,Accuracy,F1_macro,CV_F1_macro
RandomForestClassifier,0.9868852459016394,0.9868904623234463,0.982440642399386
GradientBoostingClassifier,0.9814207650273225,0.9814398694073477,0.9794994624880882
MLPClassifier,0.9814207650273225,0.9813933240573057,0.9777388823761907
LogisticRegression,0.9781420765027322,0.9781770847946526,0.9771373728620671
